N,model,run_type,split,n_samples,n_features,MAE,RMSE,MAPE,R2
10,ElasticNet,default_no_search,train,99,63,97.50108726924061,144.77248737664394,12.799573372549396,0.7663596437339517
10,ElasticNet,default_no_search,test,25,63,225.64961929755228,307.35641577541924,45.125832177411894,0.2758095064882705
10,RandomForest,tuned_random_search,train,99,63,46.81594696969697,72.6678486875429,5.959034844550468,0.9411345601022073
10,RandomForest,tuned_random_search,test,25,63,168.03479999999996,232.82389224368706,29.095395525013494,0.5844499450993987
10,XGBoost,tuned_random_search,train,99,63,53.16118244209675,88.12549017618815,6.843567216382289,0.9134277153523688
10,XGBoost,tuned_random_search,test,25,63,143.66453125,213.2592002255445,23.167670709331073,0.6513547073910682
30,ElasticNet,default_no_search,train,99,63,94.18462642388232,146.55557589180498,11.84638430909548,0.7605689444554107
30,ElasticNet,default_no_search,test,25,63,188.55702102513726,291.07229672596793,49.53377020815819,0.3505136936927056
30,RandomForest,tuned_random_search,train,99,63,49.32524406317575,83.43780530111901,6.050305594558548,0.9223928863225167
30,RandomForest,tuned_random_search,test,25,63,138.7173349224386,240.58044790025178,21.451390350073822,0.5563005282893972
30,XGBoost,tuned_random_search,train,99,63,55.00844134706439,101.31783651772578,6.726050720757792,0.885567969949355
30,XGBoost,tuned_random_search,test,25,63,158.6942272949219,262.644821534349,24.916712656586544,0.47118235442332335
50,ElasticNet,default_no_search,train,99,63,91.48605055994638,139.9201127548885,12.000744171876356,0.7817591319913921
50,ElasticNet,default_no_search,test,25,63,243.4487681482484,346.64065136961653,57.96977523021495,0.07885661501817254
50,RandomForest,tuned_random_search,train,99,63,47.602070481875074,79.6991929874031,5.784479314551562,0.9291917868392536
50,RandomForest,tuned_random_search,test,25,63,159.16960027417028,239.23192208607668,24.72089042819805,0.5612607256630615
50,XGBoost,tuned_random_search,train,99,63,47.79986233181424,77.35767691865642,6.02562903595658,0.9332912771826676
50,XGBoost,tuned_random_search,test,25,63,165.99823486328125,242.25364610888587,26.215437792099287,0.5501073501322142
100,ElasticNet,default_no_search,train,99,63,85.13369973368755,128.8692265416936,11.033928714804215,0.8148710954666357
100,ElasticNet,default_no_search,test,25,63,210.91891779100305,299.93090373826857,50.17457115234033,0.3103786701567315
100,RandomForest,tuned_random_search,train,99,63,40.364835858585856,60.1020618812441,5.00101400930857,0.9597325127336562
100,RandomForest,tuned_random_search,test,25,63,158.80695,222.74270049445505,25.51158917615047,0.6196571864937352
100,XGBoost,tuned_random_search,train,99,63,53.89380221896701,97.65116486149792,6.496631836220519,0.8937006414250447
100,XGBoost,tuned_random_search,test,25,63,162.65385498046874,248.2375396222751,26.780799223653993,0.5276073087307216
